id,timestamp,temperature,humidity,precipitation,wind_speed,weather_code,description
10517,2026-03-05 14:53:00+00,17.7,50,0,11.2,0,clear sky
10518,2026-03-05 14:54:00+00,17.7,50,0,11.2,0,clear sky
10519,2026-03-05 14:55:00+00,17.7,50,0,11.2,0,clear sky
10520,2026-03-05 14:56:00+00,17.7,50,0,11.2,0,clear sky
10521,2026-03-05 14:58:00+00,17.7,50,0,11.2,0,clear sky
10522,2026-03-05 14:59:00+00,17.7,50,0,11.2,0,clear sky
10523,2026-03-05 15:00:00+00,17.7,49,0,11.2,0,clear sky
10524,2026-03-05 15:01:00+00,17.7,49,0,11.2,0,clear sky
10525,2026-03-05 15:02:00+00,17.7,49,0,11.2,0,clear sky
10526,2026-03-05 15:03:00+00,17.7,49,0,11.2,0,clear sky
10527,2026-03-05 15:04:00+00,17.7,49,0,11.2,0,clear sky
10528,2026-03-05 15:05:00+00,17.7,49,0,11.2,0,clear sky
10529,2026-03-05 15:06:00+00,17.7,49,0,11.2,0,clear sky
10530,2026-03-05 15:07:00+00,17.7,49,0,11.2,0,clear sky
10531,2026-03-05 15:08:00+00,17.7,49,0,11.2,0,clear sky
10532,2026-03-05 15:09:00+00,17.7,49,0,11.2,0,clear sky
10533,2026-03-05 15:10:00+00,17.7,49,0,11.2,0,clear sky
10534,2026-03-05 15:12:00+00,17.7,49,0,11.2,0,clear sky
10535,2026-03-05 15:13:00+00,17.7,49,0,11.2,0,clear sky
10536,2026-03-05 15:14:00+00,17.7,49,0,11.2,0,clear sky
10537,2026-03-05 15:15:00+00,17.7,50,0,11.2,0,clear sky
10538,2026-03-05 15:16:00+00,17.7,50,0,11.2,0,clear sky
10539,2026-03-05 15:17:00+00,17.7,50,0,11.2,0,clear sky
10540,2026-03-05 15:18:00+00,17.7,50,0,11.2,0,clear sky
10541,2026-03-05 15:19:00+00,17.7,50,0,11.2,0,clear sky
10542,2026-03-05 15:20:00+00,17.7,50,0,11.2,0,clear sky
10543,2026-03-05 15:21:00+00,17.7,50,0,11.2,0,clear sky
10544,2026-03-05 15:22:00+00,17.7,50,0,11.2,0,clear sky
